AX,AY,AZ,GX,GY,GZ
,-0.01, 1.01, -.02, .02, 
,-0.01, 1, -.08, .02, 
,-0.02, 1.02, -.97, .14, -.28
-0.14,-0.13, 1.17, -2.81, 3.08, -.56
-0.63,-0.45, 2.38, -2.34, -1.22, -.12
-0.14,-0.69, .95, -4.59, -.26, .79
-0.33,-0.48, .35, -5.58, -.25, 1.86
0.26,-0.57, -.12, -5.29, .68, 1.42
0.13,-0.19, .22, -4.4, .59, .79
-0.13,-1.26, .7, -.92, -.05, -.23
-0.73,-0.8, .08, -.39, .57, .35
-0.23,-0.61, -.98, -.91, .28, -.4
-0.63,-0.92, -.4, .52, .54, .18
-0.14,-0.89, -.62, .71, .59, -.41
-0.33,-0.81, -.46, .95, .52, -.15
-0.21,-0.9, -.42, 1.09, .75, -.49
-0.21,-0.84, -.28, .83, .66, -.5
-0.28,-0.92, -.16, .35, 1.05, -.31
-0.28,-0.85, .06, .38, -.32, -.09
-0.22,-0.88, -.12, .1, .37, .03
-0.11,-1.02, , .13, -.19, -.01
-0.15,-0.97, -.08, .11, -.15, 
-0.2,-0.97, -.07, .03, , .03
-0.18,-0.96, -.07, -.08, , .03
-0.15,-0.98, -.05, -.18, .11, -.02
-0.2,-0.97, -.05, -.07, -.07, -.02
-0.14,-0.94, -.23, -.01, .01, .01
-0.19,-0.94, -.22, , .05, .01
-0.15,-0.95, -.17, .03, .01, .02
-0.16,-0.95, -.12, .05, -.12, .02
-0.14,-0.95, -.14, .05, .19, .11
-0.14,-0.97, -.1, -.02, .13, .04
-0.23,-0.95, -.09, .03, .08, -.05
-0.21,-0.93, -.15, -.04, .46, -.06
-0.17,-1.01, -.14, .03, -.22, -.05
-0.18,-0.92, , .29, -.54, -.01
-0.21,-1.08, -.21, .39, -.02, -1.17
-0.03,-1.21, -.09, -.27, -.3, -2.48
0.26,-1.3, -.08, .13, 2.02, -2.79
0.12,-1.19, .08, 1.53, .72, -.99
0.04,-1.14, -.12, 2.14, .45, 1.32
0.2,-1.03, .02, 3.16, 1.96, 1.68
0.22,-1.26, .06, 4.18, 5.1, 1.4
0.74,-0.63, .74, 3.35, 1.44, -3
0.74,-0.63, .74, 2.67, .04, -6.32
-0.21,-0.53, .76, 1.39, -1.15, -5.9
-0.31,-0.33, .6, .25, .97, -4.63
0.3,-0.37, .64, 1.76, 4.41, -5.24
-0.19,-0.45, 1.25, 1.62, -2.39, -3.99
-0.07,0.03, .81, .27, -1.01, -1.79
0.39,0.16, 1, .68, -.36, -.63
0.33,0.17, .82, .43, -.06, -.2
0.28,0.27, .81, .07, -.07, .06
0.27,0.29, .85, .01, .16, .23
0.27,0.29, .85, -.12, .41, .07
0.32,0.31, .89, -.1, .41, -.19
