
.18, -.96, -.11, -.04, .08, .01
.23, -.95, -.11, .02, -.08, -.02
.21, -.96, -.1, .03, -.13, -.02
.2, -.96, -.1, .02, -.1, -.02
.19, -.97, -.1, , -.04, 
.19, -.96, -.11, -.01, .03, .01
.19, -.96, -.11, -.03, .05, .01
.19, -.96, -.11, -.03, .06, .01
.19, -.96, -.11, -.03, .09, .02
.19, -.96, -.11, -.02, .09, .02
.2, -.96, -.11, -.01, .06, .02
.21, -.96, -.11, , .01, .01
.2, -.96, -.11, .01, -.02, 
.19, -.96, -.11, .01, , .01
.19, -.96, -.11, .02, -.01, .01
.2, -.96, -.11, .01, -.02, 
.19, -.96, -.11, .01, -.03, 
.19, -.96, -.11, .02, -.01, 
.19, -.96, -.11, .03, , 
.19, -.96, -.11, .01, , 
.19, -.96, -.11, .01, , -.01
.19, -.96, -.1, .03, , 
.19, -.96, -.1, .04, , 
.2, -.97, -.09, .04, , .01
.2, -.96, -.1, .02, .01, .01
.2, -.96, -.09, .01, .01, .01
.2, -.96, -.09, .02, .01, .02
.19, -.96, -.09, .01, , .02
.19, -.97, -.09, .02, .02, .02
.18, -.96, -.09, .02, .03, .02
.18, -.97, -.08, .02, .01, .01
.18, -.96, -.09, .02, -.01, 
.19, -.97, -.09, .03, -.05, -.01
.19, -.96, -.08, .03, -.03, 
.19, -.96, -.08, .01, , .01
.18, -.97, -.08, .02, .01, 
.17, -.97, -.08, -.04, .03, -.02
.17, -.96, -.1, -.05, , -.04
.19, -.96, -.09, .04, -.06, -.06
.17, -.97, -.09, .03, -.04, -.05
.18, -.97, -.08, .04, -.03, -.05
.2, -.97, -.07, .03, -.07, -.07
.18, -.92, , -.02, -.54, -.12
.22, -.96, -.12, -.2, -.63, .02
.25, -.98, -.26, .05, .1, -.16
.25, -.91, -.2, .31, .18, -.06
.19, -.9, -.17, .24, .28, .11
.23, -.9, -.23, .19, .38, .12
.27, -.9, -.2, .49, .38, .11
.3, -.91, -.28, .52, 1.06, .15
.36, -.91, -.01, .47, .58, .13
.57, -1.24, -.23, -.33, -.22, .15
.34, -1.17, -.29, -2.07, -.25, -.07
.06, -1.17, -.16, -2.11, -.38, -.25
.14, -1.1, .13, -1.58, -2.54, -.25
.19, -.78, -.27, -.89, -1.24, -.27
-.01, -.59, -.16, , -.51, -.19
.07, -.59, -.28, .7, -.15, -.29
.14, -.74, -.42, .47, -.19, -.57
.16, -1.35, -1, -.42, -1.17, -.1
-.11, -1.17, -.4, .2, .2, .15
